episode,reward,tests_selected,bug_exists,bug_detected,epsilon,accuracy,loss
333,5.824,4,False,False,0.1884,0.8258,2.336663
334,6.412,2,False,False,0.1875,0.8263,3.712729
335,13.529,5,True,True,0.1865,0.8269,2.730734
336,14.118,3,True,True,0.1856,0.8274,4.597414
337,6.412,2,False,False,0.1847,0.8279,3.975716
338,5.235,6,False,False,0.1837,0.8284,3.231262
339,4.941,7,False,False,0.1828,0.8289,2.711109
340,5.529,5,False,False,0.1819,0.8294,3.637726
341,6.118,3,False,False,0.181,0.8299,2.699056
342,-6.471,5,True,False,0.1801,0.8275,4.179135
343,5.235,6,False,False,0.1792,0.828,3.263455
344,6.412,2,False,False,0.1783,0.8285,3.109758
345,-5.588,2,True,False,0.1774,0.8261,3.852241
346,6.412,2,False,False,0.1765,0.8266,3.04884
347,5.529,5,False,False,0.1756,0.8271,3.810372
348,13.529,5,True,True,0.1748,0.8276,3.560401
349,-7.059,7,True,False,0.1739,0.8252,3.694583
350,6.118,3,False,False,0.173,0.8257,3.071855
351,6.412,2,False,False,0.1721,0.8262,2.831251
352,-5.588,2,True,False,0.1713,0.8239,4.197902
353,13.529,5,True,True,0.1704,0.8244,3.495035
354,-5.588,2,True,False,0.1696,0.822,2.785476
355,5.824,4,False,False,0.1687,0.8225,2.803174
356,-5.294,1,True,False,0.1679,0.8202,2.870681
357,12.647,8,True,True,0.167,0.8207,3.425188
358,14.118,3,True,True,0.1662,0.8212,3.726429
359,5.824,4,False,False,0.1654,0.8217,2.017807
360,6.118,3,False,False,0.1646,0.8222,4.068007
361,5.529,5,False,False,0.1637,0.8227,3.294296
362,5.824,4,False,False,0.1629,0.8232,2.861997
363,6.118,3,False,False,0.1621,0.8237,3.324769
364,5.529,5,False,False,0.1613,0.8242,2.981522
365,13.235,6,True,True,0.1605,0.8247,3.143074
366,6.118,3,False,False,0.1597,0.8251,3.110879
367,6.412,2,False,False,0.1589,0.8256,3.115665
368,5.529,5,False,False,0.1581,0.8261,3.780303
369,14.412,2,True,True,0.1573,0.8266,2.265647
370,4.647,8,False,False,0.1565,0.827,3.172769
371,12.941,7,True,True,0.1557,0.8275,4.302135
372,5.235,6,False,False,0.1549,0.828,3.845487
373,6.412,2,False,False,0.1542,0.8284,1.675107
374,6.412,2,False,False,0.1534,0.8289,1.733624
375,5.529,5,False,False,0.1526,0.8293,3.844572
376,6.706,1,False,False,0.1519,0.8298,2.806874
377,-5.588,2,True,False,0.1511,0.8276,3.118966
378,-6.471,5,True,False,0.1504,0.8254,3.878551
379,5.529,5,False,False,0.1496,0.8259,2.581304
380,-6.176,4,True,False,0.1489,0.8237,4.310685
381,6.118,3,False,False,0.1481,0.8241,2.684563
382,6.412,2,False,False,0.1474,0.8246,3.200888
383,5.824,4,False,False,0.1466,0.8251,3.390116
384,14.118,3,True,True,0.1459,0.8255,2.90638
385,6.118,3,False,False,0.1452,0.826,2.504196
386,6.412,2,False,False,0.1444,0.8264,3.231412
387,6.118,3,False,False,0.1437,0.8269,3.186694
388,5.529,5,False,False,0.143,0.8273,3.243899
389,14.412,2,True,True,0.1423,0.8278,2.965938
390,5.529,5,False,False,0.1416,0.8282,3.392242
391,13.529,5,True,True,0.1409,0.8286,2.788238
392,5.235,6,False,False,0.1402,0.8291,3.082336
393,13.529,5,True,True,0.1395,0.8295,3.340575
394,5.235,6,False,False,0.1388,0.8299,3.312621
395,6.118,3,False,False,0.1381,0.8304,2.3892
396,6.118,3,False,False,0.1374,0.8308,3.141337
397,13.529,5,True,True,0.1367,0.8312,4.706584
398,5.824,4,False,False,0.136,0.8317,2.015908
399,5.824,4,False,False,0.1353,0.8321,2.472358
400,6.412,2,False,False,0.1347,0.8325,3.992311
401,5.235,6,False,False,0.134,0.8329,2.450716
402,14.118,3,True,True,0.1333,0.8333,3.604983
403,5.529,5,False,False,0.1326,0.8337,3.553567
404,6.412,2,False,False,0.132,0.8342,3.302404
405,13.824,4,True,True,0.1313,0.8346,2.810652
406,5.824,4,False,False,0.1307,0.835,3.503086
407,5.824,4,False,False,0.13,0.8354,3.936284
408,-6.176,4,True,False,0.1294,0.8333,2.262288
409,4.647,8,False,False,0.1287,0.8337,2.932657
410,6.412,2,False,False,0.1281,0.8341,2.724243
411,-6.176,4,True,False,0.1274,0.8321,1.856689
412,5.235,6,False,False,0.1268,0.8325,3.299792
413,6.706,1,False,False,0.1262,0.8329,2.86861
414,4.941,7,False,False,0.1255,0.8333,3.459531
415,6.118,3,False,False,0.1249,0.8337,3.496822
416,6.118,3,False,False,0.1243,0.8341,3.209304
417,-5.882,3,True,False,0.1237,0.8321,2.348459
418,-5.882,3,True,False,0.123,0.8301,3.10119
419,-6.471,5,True,False,0.1224,0.8282,1.845067
420,14.412,2,True,True,0.1218,0.8286,2.598865
421,5.529,5,False,False,0.1212,0.829,2.848956
422,5.235,6,False,False,0.1206,0.8294,4.232783
423,-5.882,3,True,False,0.12,0.8274,3.111615
424,6.706,1,False,False,0.1194,0.8278,2.883204
425,6.118,3,False,False,0.1188,0.8282,3.336496
426,-7.353,8,True,False,0.1182,0.8263,4.291117
427,14.118,3,True,True,0.1176,0.8267,3.95905
428,-5.588,2,True,False,0.117,0.8248,2.623933
429,6.412,2,False,False,0.1164,0.8252,3.403699
430,5.824,4,False,False,0.1159,0.8256,3.571079
431,-5.588,2,True,False,0.1153,0.8237,3.895713
432,-5.588,2,True,False,0.1147,0.8218,2.987208
433,4.941,7,False,False,0.1141,0.8222,2.534397
434,5.824,4,False,False,0.1136,0.8226,4.621824
435,-6.765,6,True,False,0.113,0.8207,1.943616
436,-6.176,4,True,False,0.1124,0.8188,3.284052
437,5.824,4,False,False,0.1119,0.8192,3.846609
438,5.824,4,False,False,0.1113,0.8196,2.380328
439,5.529,5,False,False,0.1107,0.82,2.954199
440,4.647,8,False,False,0.1102,0.8205,2.871296
441,4.941,7,False,False,0.1096,0.8209,3.842143
442,14.412,2,True,True,0.1091,0.8213,3.284155
443,-7.059,7,True,False,0.1085,0.8194,2.648745
444,4.647,8,False,False,0.108,0.8198,2.142355
445,13.529,5,True,True,0.1075,0.8202,2.810394
446,6.412,2,False,False,0.1069,0.8206,3.644711
447,14.118,3,True,True,0.1064,0.821,2.935231
448,-6.176,4,True,False,0.1059,0.8192,4.445722
449,6.412,2,False,False,0.1053,0.8196,2.636976
450,4.941,7,False,False,0.1048,0.82,2.904819
451,-6.176,4,True,False,0.1043,0.8182,2.939618
452,5.824,4,False,False,0.1038,0.8186,3.517467
453,5.235,6,False,False,0.1032,0.819,2.261241
454,4.941,7,False,False,0.1027,0.8194,3.383536
